"estado","populacao","uf"
"São Paulo",45919049,"SP"
"Minas Gerais",21168791,"MG"
"Rio de Janeiro",17264943,"RJ"
"Bahia",14873064,"BA"
"Paraná",11433957,"PR"
"Rio Grande do Sul",11377239,"RS"
"Pernambuco",9557071,"PE"
"Ceará",9132078,"CE"
"Pará",8602865,"PA"
"Santa Catarina",7164788,"SC"
"Maranhão",7075181,"MA"
"Goiás",7018354,"GO"
"Amazonas",4144597,"AM"
"Espírito Santo",4018650,"ES"
"Paraíba",4018127,"PB"
"Rio Grande do Norte",3506853,"RN"
"Mato Grosso",3484466,"MT"
"Alagoas",3337357,"AL"
"Piauí",3273227,"PI"
"Distrito Federal",3015268,"DF"
"Mato Grosso do Sul",2778986,"MS"
"Sergipe",2298696,"SE"
"Rondônia",1777225,"RO"
"Tocantins",1572866,"TO"
"Acre",881935,"AC"
"Amapá",845731,"AP"
"Roraima",605761,"RO"
